Date,Close,Index,Month,Returns (%)
1996-06-01,670.6300048828125,S&P 500,June,0.22567099722681228
1996-07-01,639.9500122070312,S&P 500,July,-4.57480167192077
1996-08-01,651.989990234375,S&P 500,August,1.881393514756069
1996-09-01,687.3300170898438,S&P 500,September,5.420332732833044
1996-10-01,705.27001953125,S&P 500,October,2.610100242291802
1996-11-01,757.02001953125,S&P 500,November,7.337615178140577
1996-12-01,740.739990234375,S&P 500,December,-2.1505414489508046
1997-01-01,786.1599731445312,S&P 500,January,6.131703905412889
1997-02-01,790.8200073242188,S&P 500,February,0.5927590234654057
1997-03-01,757.1199951171875,S&P 500,March,-4.261401064074876
1997-04-01,801.3400268554688,S&P 500,April,5.840557906734034
1997-05-01,848.280029296875,S&P 500,May,5.857688480332501
1997-06-01,885.1400146484375,S&P 500,June,4.345261479527585
1997-07-01,954.3099975585938,S&P 500,July,7.814580943742477
1997-08-01,899.469970703125,S&P 500,August,-5.746563170852836
1997-09-01,947.280029296875,S&P 500,September,5.315359061556713
1997-10-01,914.6199951171875,S&P 500,October,-3.447769737522033
1997-11-01,955.4000244140625,S&P 500,November,4.458685521263939
1997-12-01,970.4299926757812,S&P 500,December,1.5731597108694428
1998-01-01,980.280029296875,S&P 500,January,1.0150177442407982
1998-02-01,1049.3399658203125,S&P 500,February,7.044919253631243
1998-03-01,1101.75,S&P 500,March,4.994571434122053
1998-04-01,1111.75,S&P 500,April,0.9076469253460395
1998-05-01,1090.8199462890625,S&P 500,May,-1.8826223261468433
1998-06-01,1133.8399658203125,S&P 500,June,3.9438240635040422
1998-07-01,1120.6700439453125,S&P 500,July,-1.1615326917385427
1998-08-01,957.280029296875,S&P 500,August,-14.579671825011387
1998-09-01,1017.010009765625,S&P 500,September,6.239551504341101
1998-10-01,1098.6700439453125,S&P 500,October,8.029422856762892
1998-11-01,1163.6300048828125,S&P 500,November,5.912599628568138
1998-12-01,1229.22998046875,S&P 500,December,5.637528708495609
1999-01-01,1279.6400146484375,S&P 500,January,4.100944085374847
1999-02-01,1238.3299560546875,S&P 500,February,-3.2282562377591306
